Name,month,total_amount
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2022-01-01,20026.1
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2022-03-01,2242.5
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2022-06-01,8045.4
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2022-07-01,15178.86
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2022-08-01,69538.83
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2022-09-01,69195.04
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2022-10-01,117591.6
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2022-11-01,27178.940000000002
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2022-12-01,8606.72
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2023-01-01,75436.81
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2023-02-01,13886.720000000001
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2023-04-01,105047.52
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2023-05-01,32526.0
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2023-06-01,11759.9
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2023-07-01,24998.13
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2023-08-01,15216.23
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2023-09-01,38638.770000000004
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2023-10-01,86290.19
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2023-11-01,4303.3
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2023-12-01,45015.6
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2024-01-01,87089.26
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2024-02-01,78245.47
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2024-03-01,60362.869999999995
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2024-04-01,143333.25
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2024-05-01,91039.42
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2024-06-01,43686.78
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2024-07-01,67407.15
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2024-08-01,133903.24
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2024-09-01,74422.9
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2024-10-01,116912.18000000001
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2024-11-01,108395.62
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2024-12-01,100490.25
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2025-01-01,65510.48
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2025-02-01,21572.85
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2025-03-01,27526.4
ARABIAN GEOPHYSIC AL& SURVAYING COMPANY (ARGAS) الشركة العربية للجيوفيريقاء و المساحة (اركاس),2025-04-01,13909.65
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2021-12-01,9501.3
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2022-01-01,104050.29000000001
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2022-02-01,37409.22
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2022-03-01,49310.97
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2022-04-01,86122.02
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2022-05-01,51769.56
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2022-06-01,22597.5
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2022-07-01,58199.35
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2022-08-01,56420.19
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2022-09-01,66163.88
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2022-10-01,75851.13
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2022-11-01,48948.11
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2022-12-01,8344.4
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2023-01-01,166926.23
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2023-02-01,100288.34
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2023-03-01,59297.34
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2023-04-01,89486.57
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2023-05-01,114644.06
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2023-06-01,51244.57
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2023-07-01,261261.38999999998
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2023-08-01,578898.7
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2023-09-01,150349.22
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2023-10-01,309447.27999999997
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2023-11-01,151936.17
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2023-12-01,20458.5
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2024-01-01,434795.3
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2024-02-01,309771.13
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2024-03-01,27534.17
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2024-04-01,275917.67
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2024-05-01,266290.35
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2024-06-01,62670.58
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2024-07-01,10765.4
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2024-08-01,46050.14
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2024-09-01,123429.22
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2024-10-01,122984.70999999999
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2024-11-01,204486.5
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2024-12-01,68091.79000000001
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2025-01-01,110828.59
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2025-02-01,108162.65000000001
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2025-03-01,108097.0
BGP ARABIA CO LTD شركة بي جي بي العربية المحدودة,2025-04-01,67103.42
